C	N	P	S	V	Ni	Nb	Al	Ti	Fe	Hf	Mo	Mn	Co	Si	Cr	Cu	SFE
0.004	0.003	0.025	0.001	0	15.6	0	0	0	64.317	0	2.5	0.03	0	0.02	17.5	0	51.6
0.02	0.009	0.022	0.001	0	15.6	0	0	0	64.188	0	2.5	0.03	0	0.03	17.6	0	54.6
0.02	0.002	0.027	0.002	0	14	0	0	0	66.409	0	2.4	0.03	0	0.01	17.1	0	50.3
0.005	0.001	0.026	0.002	0	15.6	0	0	0	63.866	0	2.6	0.19	0	0.01	17.7	0	52.8
0.016	0.008	0.025	0.002	0	10.8	0	0	0	68.899	0	0.3	0.85	0	0.1	19	0	35
0.026	0.038	0.024	0.002	0	11.2	0	0	0	68.23	0	0.3	1.18	0	0.1	18.9	0	35.2
0.003	0.004	0.025	0.002	0	12.1	0	0	0	68.232	0	2.6	0.02	0	0.014	17	0	42
0.009	0.003	0.024	0.002	0	12.2	0	0	0	68.016	0	2.7	0.03	0	0.016	17	0	42.5
0.018	0.004	0.027	0.002	0	12	0	0	0	68.305	0	2.7	0.03	0	0.014	16.9	0	42.1
0.046	0.004	0.026	0.002	0	11.9	0	0	0	68.562	0	2.7	0.03	0	0.03	16.7	0	41.8
0.075	0.003	0.024	0.002	0	12	0	0	0	68.236	0	2.6	0.03	0	0.03	17	0	41.8
0.003	0.013	0.026	0.002	0	12	0	0	0	68.411	0	2.6	0.03	0	0.015	16.9	0	41.4
0.003	0.023	0.026	0.002	0	12	0	0	0	68.226	0	2.7	0.03	0	0.19	16.8	0	41.6
0.003	0.061	0.025	0.002	0	12.1	0	0	0	68.061	0	2.6	0.03	0	0.018	17.1	0	41.2
0.003	0.087	0.026	0.002	0	11.8	0	0	0	68.723	0	2.5	0.03	0	0.029	16.8	0	39.7
0.004	0.004	0.029	0.002	0	12	0	0	0	67.927	0	2.7	0.21	0	0.024	17.1	0	41.1
0.003	0.041	0.027	0.002	0	12	0	0	0	68.297	0	2.7	0.21	0	0.02	16.7	0	41.1
0.004	0.004	0.03	0.002	0	12	0	0	0	67.856	0	2.7	0.78	0	0.024	16.6	0	41.7
0.003	0.042	0.026	0.002	0	11.9	0	0	0	67.607	0	2.6	0.8	0	0.02	17	0	41.1
0.055	0.003	0.029	0.002	0	12	0	0	0	66.7	0	2.7	1.37	0	0.041	17.1	0	43
0.004	0.046	0.024	0.002	0	12.1	0	0	0	66.644	0	2.5	1.46	0	0.02	17.2	0	42.2
0.003	0.002	0.023	0.002	0	12	0	0	0	70.128	0	0.9	0.02	0	0.022	16.9	0	37.3
0.003	0.001	0.023	0.002	0	12	0	0	0	70.761	0	0.32	0.02	0	0.02	16.85	0	36.7
0.0006	0.001	0.02	0.001	0	15.32	0	0	0	64.4774	0	2.45	0.02	0	0.01	17.7	0	50.3
0.002	0.0011	0.004	0.0004	0	15.75	0	0	0	64.9895	0	2.28	0.02	0	0.003	16.95	0	51.3
0.002	0.0043	0.004	0.0024	0	15.72	0	0	0	60.8673	0	2.29	3.95	0	0.03	17.13	0	53.6
0.003	0.0071	0.004	0.0002	0	15.4	0	0	0	69.1557	0	2.29	0.03	0	0.02	13.09	0	48.9
0.074	0.004	0.004	0.0002	0	15.65	0	0	0	64.9178	0	2.28	0.02	0	0.03	17.02	0	50.9
0.002	0.0974	0.004	0.0005	0	15.56	0	0	0	65.0561	0	2.29	0.01	0	0.03	16.95	0	49.4
0.003	0.0069	0.004	0.0003	0	15.51	0	0	0	66.9658	0	2.31	0.03	0	1.82	13.35	0	46.5
0.05	0.042	0.017	0.001	0	19.85	0	0	0	52.98	0	0.04	1.83	0	1.08	24.11	0	55.5
0.05	0.04	0.023	0.001	0	13.11	0	0	0	66.256	0	2.11	1.81	0	0.52	16.08	0	44.5
0.018	0.1	0.027	0.0013	0	12.5	0	0	0	67.2737	0	2.3	0.83	0	0.49	16.46	0	41.7
0.69	0	0	0	0	0	0	1.16	0	72.25	0	0	25.59	0	0	0	0	7.75
0.69	0	0	0	0	0	0	3.16	0	71.18	0	0	24.75	0	0	0	0	10.67
0.67	0	0	0	0	0	0	4.45	0	70.31	0	0	24.47	0	0	0	0	15.12
0.68	0	0	0	0	0	0	6.27	0	68.1	0	0	24.8	0	0	0	0	14.95
0.66	0	0	0	0	0	0	9.77	0	65.54	0	0	23.78	0	0	0	0	54.74
0.01	0	0	0	0	19.81	0	0	0	70.15	0	0.01	0.01	0	0.01	10	0	35.6
0.01	0	0	0	0	9.98	0	0	0	75	0	0.01	0.01	0	0.01	14.98	0	15.2
