sample_id,label,anneal_time,anneal_time_unit,anneal_temperature,anneal_temp_unit,cool_method
1,3.1 IN1 Etched Sample 1,,,,,
2,AC 800C 8H WQ,8.0,H,800.0,C,WQ
3,AC1 + vickers mark,,,,,
4,AC1 1000C 5M WQ,5.0,M,1000.0,C,WQ
5,AC1 1100C 1H 650C 1H,1.0,H,1100.0,C,650-1H
6,AC1 800C 24H WQ,24.0,H,800.0,C,WQ
7,AC1 800C 3H WQ,3.0,H,800.0,C,WQ
8,AC1 800C 5M WQ,5.0,M,800.0,C,WQ
9,AC1 700C 5M WQ,5.0,M,700.0,C,WQ
10,AC1 750C 5M WQ,5.0,M,750.0,C,WQ
11,AC1 800C 900C 970C 90M WQ,90.0,M,800.0,C,WQ
12,AC1 800C 90M WQ,90.0,M,800.0,C,WQ
13,AC1 800C 24H Q,24.0,H,800.0,C,Q
14,AC1 800C 3H Q,3.0,H,800.0,C,Q
15,AC1 800C 5M Q,5.0,M,800.0,C,Q
16,AC1 800C 8H Q,8.0,H,800.0,C,Q
17,AC1 800C 85H Q,85.0,H,800.0,C,Q
18,AC1 800C 85H WQ,85.0,H,800.0,C,WQ
19,AC1 900C 90M WQ,90.0,M,900.0,C,WQ
20,AC1 900C 24H Q,24.0,H,900.0,C,Q
21,AC1 900C 3H Q,3.0,H,900.0,C,Q
22,AC1 900C 5M Q,5.0,M,900.0,C,Q
23,AC1 900C 90M Q,90.0,M,900.0,C,Q
24,AC1 970C 24H WQ,24.0,H,970.0,C,WQ
25,AC1 970C 24H WQ,24.0,H,970.0,C,WQ
26,AC1 970C 3H WQ,3.0,H,970.0,C,WQ
27,AC1 970C 48H WQ,48.0,H,970.0,C,WQ
28,AC1 970C 8H WQ,8.0,H,970.0,C,WQ
29,AC1 970C 90M AR,90.0,M,970.0,C,AR
30,AC1 970C 24H FC,24.0,H,970.0,C,FC
31,AC1 970C 90M 65C 4H FC,90.0,M,970.0,C,FC
32,AC1 970C 90M WC,90.0,M,970.0,C,WC
33,AC1 970C 90M WQ-2C,90.0,M,970.0,C,WQ-2C
34,AC1 970 5M FC,5.0,M,970.0,C,FC
35,AC1 970C 90M FC,90.0,M,970.0,C,FC
36,AC1 970C 24H Q,24.0,H,970.0,C,Q
37,AC1 970C 3H Q,3.0,H,970.0,C,Q
38,AC1 970C 5M Q,5.0,M,970.0,C,Q
39,AC1 970C 8H Q,8.0,H,970.0,C,Q
40,AC1 970C 90M Q,90.0,M,970.0,C,Q
41,AC1 IS1010H 35X etched,,,,,
42,ET Gyro,,,,,
43,Gaunt - Utah 1.5 yr explant M,,,,,
44,IN1 Etched Sample,,,,,
45,IN3 Unetched,,,,,
46,Midrex DRI,,,,,
47,SIS_XL.TIF,,,,,
